ETHNICITY,ETHNICITY_RECAT,AB_GROUP,AB_TRIBE,AB_LANG
Jerrey,Out,,,
Jermier,Out,,,
Jermany,Others,,,
Jerish,Out,,,
Jer,Out,,,
Jen Russian,Out,,,
Jen Austrian,Out,,,
Jeesy Iel,Out,,,
Jasard,Out,,,
Japonaise,Ja,,,
Japonais,Ja,,,
J. B. Chippewa,Ab,Metis,,
J English,Out,,,
Ivshmas,Out,,,
Ivis,Out,,,
Ittatian,It,,,
Itlay,It,,,
Itland,It,,,
Itlan,It,,,
Itlalian,It,,,
Itlaian,It,,,
Itation,It,,,
Itatience,It,,,
Itatien,It,,,
Itarlian,It,,,
Itallen,It,,,
Itallain,It,,,
Italiume,It,,,
Italiere,It,,,
Italienore,It,,,
Italienies,It,,,
Italienas,It,,,
Italiemse,It,,,
Italie Francaise,It,,,
Italianse,It,,,
Italian Ob,Ab,Metis,,
Italenne,It,,,
Itaian,It,,,
Itabienne,Out,,,
Isrietite,Others,,,
Islmande,Others,,,
Isle Of Man Eng,Others,,,
Islandless,Others,,,
Islandis,Others,,,
Islandia,Others,,,
Islandaise Scelandic,Out,,,
Isladaise,Out,,,
Isish,Out,,,
Ish,Out,,,
Iselander,Out,,,
Iselandaise,Out,,,
Irvisl,Out,,,
Irus,Out,,,
Irtlaien,Out,,,
Irsrsh,Out,,,
Irsland,Out,,,
Irsh I. B.,Out,,,
Irsh C,Out,,,
Irsh B,Out,,,
Irsh Am,Out,,,
Irs Ob,Out,,,
Irreland,Out,,,
Irozusis,Out,,,
Iroquos M F,Out,,,
Iroquis G. B.,Ab,Metis,,
Irogoise,Out,,,
Irogerois,Out,,,
Irlish,Ir,,,
Irleard,Ir,,,
Irlavsaise,Ir,,,
Irlang,Ir,,,
Irlandisse,Ir,,,
Irlandire,Ir,,,
Irlandiase,Ir,,,
Irlandiar,Ir,,,
Irlandian,Ir,,,
Irlande E B,Out,,,
Irlandarisè,Ir,,,
Irlandaises,Ir,,,
Irlandais M B,Out,,,
Irlandae,Ir,,,
Irlaise,Ir,,,
Irlah,Ir,,,
Irla Ang,Out,,,
Irla,Out,,,
Irl Scotch,Out,,,
Irish-scot.,Others,,,
Irishieh,Ir,,,
Irished,Ir,,,
Irishand,Ir,,,
Irisha,Ir,,,
Irish S/b,Out,,,
Irish S,Out,,,
Irish M F,Out,,,
Irish Irland,Ir,,,
Irish Ireland,Ir,,,
Irish Indian O B,Out,,,
Irish I,Ir,,,
Irish H B,Ir,,,
Irish German,Ir,,,
Irish Francais,Ir,,,
Irish Farmer,Ir,,,
Irish E,Out,,,
Irish Con,Out,,,
Irish Chip S B,Out,,,
Irish Chaman,Out,,,
Irish Brenth,Out,,,
Irish B Cree,Ab,Metis,,
Irish Armic,Out,,,
Irish 156 Page,Out,,,
Irish & French,Out,,,
Irish & English,Out,,,
Irish & Eng,Out,,,
Iriset,Out,,,
Irionois,Out,,,
Iriland,Out,,,
Irieland,Ir,,,
Irict,Out,,,
Iri E,Out,,,
Irezaris Sb,Out,,,
Iretosh,Out,,,
Iresish,Out,,,
Iresch,Out,,,
Ires Eng,Out,,,
Irelosh,Out,,,
Irelash,Out,,,
Irelanld,Ir,,,
Irelane,Out,,,
Irelandiene,Out,,,
Irelandac,Ir,,,
Ireland Irish,Ir,,,
Irelabrish,Ir,,,
Ireiah,Out,,,
Iregland,Ir,,,
Irealand,Ir,,,
Irdian,Out,,,
Irdean,Out,,,
Ird,Out,,,
Irch S,Out,,,
Irande,Out,,,
Irandaiser,Out,,,
Iralian,Out,,,
Irásh,Out,,,
Ir Us,Out,,,
Ir Mo,Out,,,
Ir Canadia,Out,,,
Ir,Out,,,
Iowan,Out,,,
Inquios,Out,,,
Inglaise,Out,,,
Inglais,Out,,,
Inees,Out,,,
Indin,Out,,,
Indienne Metis Mermac,Ab,Metis,,
Indienne M M,Out,,,
Indiene,Ab,,,
Indianse,Out,,,
Indiana,Out,,,
Indian Such,Out,,,
Indian St,Out,,,
Indian S. B.,Ab,Metis,,
Indian Red,Out,,,
Indian O B Othier Breed,Ab,Metis,,
Indian Nb English B,Ab,Metis,,
Indian Nb,Out,,,
Indian N,Out,,,
Indian Mchenk,Out,,,
Indian Jersey,Others,,,
Indian Irish Ib,Ab,Metis,,
Indian I B Irish,Ab,Metis,,
Indian Hb,Ab,Metis,,
Indian H R,Ab,Metis,,
Indian H,Ab,Metis,,
Indian Gordon,Out,,,
Indian German B,Ab,Metis,,
Indian Cb,Ab,Metis,,
Indian Casca,Out,,,
Indian Bro,Out,,,
Indian Ab,Out,,,
Indian A D,Out,,,
Indiaise Metisse F.,Ab,Metis,,
India Eb,Ab,Metis,,
Inda S B,Ab,Metis,,
Inda Ob,Ab,Metis,,
Incoun Mf,Out,,,
Inconn,Out,,,
Imglish,Out,,,
Imf,Out,,,
Ilondais,Out,,,
Iliandaise,Out,,,
Ilatian,Out,,,
Ilandi,Out,,,
Iirsh,Out,,,
Iir,Out,,,
Iie,Out,,,
Ierrs,Out,,,
Ieriesh,Out,,,
Ienlion,Out,,,
Ienish,Out,,,
Ieishe,Out,,,
Idienne,Out,,,
Iclanders,Others,,,
Icelanie,Others,,,
Icelanden,Others,,,
Icelandel,Others,,,
Icelande,Others,,,
Icelan,Others,,,
Iceladner,Others,,,
Icdandic,Out,,,
Ialian,Out,,,
Ialander,Out,,,
Ialandais,Out,,,
Iaish,Out,,,
I.b,Out,,,
I Tb,Out,,,
I Scotch,Out,,,
I Scoks States,Out,,,
I R,Out,,,
I Irelan,Out,,,
I Ir Hb,Out,,,
I E P,Out,,,
I Dutch,Out,,,
I Bclian,Out,,,
I B B,Out,,,
Hydsh S C,Out,,,
Hydah,Out,,,
Hwa Quet,Out,,,
Huron M,Ab,Metis,,
Hurenne,Out,,,
Huren,Out,,,
Hunnish,Out,,,
Hungarn,Others,,,
Hungarigan,Others,,,
Hungarian Jew,Others,,,
Hungara,Others,,,
Hunganan,Others,,,
Hungaien,Others,,,
Hungaian,Others,,,
Hun,Out,,,
Howell,Out,,,
Houngaria,Out,,,
Hope Sb,Out,,,
Hop Ob,Out,,,
Hongris,Out,,,
Hongrien,Out,,,
Hongel S,Out,,,
Hongarienne,Out,,,
Hong Kong,Others,,,
Homlpes,Out,,,
Holtoneattbage,Out,,,
Hollond,Out,,,
Holllander,Out,,,
Hollinder,Out,,,
Hollfrench,Out,,,
Hollary,Out,,,
Hollands,Out,,,
Hollandos,Out,,,
Hollanderr,Others,,,
Hollandase,Others,,,
Hollandarise,Others,,,
Hollandan,Others,,,
Hollandale,Out,,,
Hollandain,Out,,,
Holland Irish,Out,,,
Holland Dietd,Out,,,
Hollan Daise,Out,,,
Holf Brew,Out,,,
Holanders,Out,,,
Hol Dutch,Out,,,
Hol,Out,,,
Hohawk,Out,,,
Hoff Belen,Out,,,
Ho,Out,,,
Hirlandain,Out,,,
Hindu,Out,,,
Hindo,Out,,,
Hilandais,Out,,,
Highland Scoth,Out,,,
High Scotch,Out,,,
Hicger,Out,,,
Hibernian,Out,,,
Hi Dutch,Out,,,
Hewbren,Out,,,
Heron Franc French F B,Out,,,
Heny,Out,,,
Henplish,Out,,,
Heng,Out,,,
Hendon,Out,,,
Henderson,Out,,,
Henck F B,Out,,,
Hemagriom,Out,,,
Helumaht,Out,,,
Helise Franc,Out,,,
Hegro,Out,,,
Hegress,Out,,,
Hedquiaht,Out,,,
Hechquecht,Out,,,
Hebrew Russian,Out,,,
Hebrew Jewish,Others,,,
Hebreur,Out,,,
H'd Dutch,Out,,,
Hb Scotch,Out,,,
Hawaiian Breed,Others,,,
Hawaia,Others,,,
Hatel,Out,,,
Haste,Out,,,
Harder Sb,Out,,,
Hanlandase,Out,,,
Hangman,Others,,,
Hamande,Out,,,
Haliene,Out,,,
Halflard I,Out,,,
Halffreed,Out,,,
Half Brud,Out,,,
Half Breen,Out,,,
Half Breed F B,Ab,Metis,,
Half B Iroquis,Ab,Metis,,
Haidon,Out,,,
Hébreuse,Out,,,
Hèshquiskt,Out,,,
H.bend Frf.,Out,,,
H.b,Out,,,
H O B,Out,,,
H H C,Out,,,
H Ca,Out,,,
H Brad,Out,,,
H Babine,Out,,,
Gurnsey,Out,,,
Gurnan,Out,,,
Guho Scotch,Out,,,
Grocer,Out,,,
Grma,Out,,,
Grlandaise,Out,,,
Grermany,Others,,,
Gree I Breed,Out,,,
Gree F R,Out,,,
Greacan,Out,,,
Grce,Out,,,
Grécque,Out,,,
Gr?,Out,,,
Govnn,Out,,,
Gonmane,Out,,,
Gi Germ,Out,,,
Gewish,Out,,,
Gessoda,Others,,,
Gersey,Others,,,
Gersay,Others,,,
Gernsey,Others,,,
Gernay,Others,,,
Gernany,Others,,,
Germone,Others,,,
Germney,Others,,,
Germm,Others,,,
Germian,Others,,,
Germey,Others,,,
Germer,Others,,,
Germaur,Others,,,
Germary,Others,,,
Germant,Others,,,
Germani,Others,,,
German Swiss,Others,,,
German Prussia,Others,,,
German O. B.,Others,,,
German Framer,Others,,,
German Fess??,Out,,,
German England,Others,,,
German D.,Others,,,
German Canadia,Others,,,
German Canaden,Others,,,
German B.,Ab,Metis,,
German American,Others,,,
Germ B,Others,,,
Gererman,Others,,,
Gerander,Out,,,
Geraman,Out,,,
Ger??,Out,,,
Ger Menonite,Out,,,
Ger Irish,Out,,,
Ger B,Out,,,
Geormise,Out,,,
Gennor,Out,,,
Gemray,Out,,,
Gemma,Out,,,
Geme,Out,,,
Gemanr,Out,,,
Ge'man,Out,,,
Gelicia,Out,,,
Gelican,Out,,,
Gelatian,Out,,,
Geerman,Out,,,
Gee S B,Out,,,
Gearma,Out,,,
Ge Poland,Others,,,
Gar,Out,,,
Gallina,Out,,,
Gallicien,Out,,,
Gallecian,Out,,,
Galienon,Out,,,
Galicen,Out,,,
Galicean,Out,,,
Galecian,Out,,,
Galechan,Out,,,
Gale Tribe,Out,,,
Galasian,Out,,,
Galanan,Out,,,
Galalian,Out,,,
Galahad Keon,Out,,,
Galacer,Out,,,
Gaes F B,Out,,,
Gaelie,Out,,,
Gaelic,Out,,,
Gaeian,Out,,,
G. Pole,Others,,,
G Welsh,Others,,,
G Swiss,Others,,,
G Gew,Others,,,
G Fr,Others,,,
G Fb,Others,,,
G Dutch,Others,,,
G Breed,Others,,,
G B Leliouett,Others,,,
Frwaiaila Eb,Out,,,
Frusscien,Out,,,
Frsach,Out,,,
Frrancaise,Out,,,
Fronch,Fr,,,
Frn,Out,,,
Frlandoier,Out,,,
Friancaise,Out,,,
Fresclish,Out,,,
Frent,Out,,,
Frensis,Out,,,
Frends,Out,,,
Frend,Out,,,
Frenches,Out,,,
French W,Out,,,
French Usa Of Hand,Out,,,
French Us A Berhand Dutch,Out,,,
French T,Out,,,
French S B,Out,,,
French R,Out,,,
French Portguese,Out,,,
French Ongen Fb,Out,,,
French O. B,Ab,Metis,,
French Ne,Out,,,
French M F,Out,,,
French Island,Out,,,
French Indian B,Ab,Metis,,
French Hungarin,Out,,,
French Halfboead,Out,,,
French Govin,Out,,,
French Gb,Out,,,
French G,Out,,,
French English,Fr,,,
French E B,Out,,,
French Cre,Out,,,
French Cou,Out,,,
French Con,Out,,,
French Canadia,Fr,,,
French Breth,Out,,,
French B.,Out,,,
French B H,Out,,,
French B African,Out,,,
French Am,Out,,,
French & I,Out,,,
French & Eng,Out,,,
Fren Fb,Out,,,
Frech Hb,Out,,,
Frech F B,Out,,,
Frcse,Out,,,
Frch,Out,,,
Fraure,Out,,,
Fraser River Eb,Ab,Metis,,
Frarch,Out,,,
Franse,Out,,,
Fransaisse,Out,,,
Franncaise,Out,,,
Frank,Out,,,
Franise,Out,,,
Franh,Out,,,
Franecais,Out,,,
Frandais,Out,,,
Franck M,Out,,,
Franck,Out,,,
Francis Island,Out,,,
Franciaise,Out,,,
Franches,Out,,,
Franchere,Out,,,
Franche,Out,,,
Franchaise,Fr,,,
Franch S B,Out,,,
Franch F B,Out,,,
Franceisse,Out,,,
Franceise,Out,,,
Franceaise,Out,,,
Francaise Sursse,Out,,,
Francaise Hugenst,Out,,,
Francaise Fb,Out,,,
Francaise Cree S,Ab,Metis,,
Francaise Canadienie,Fr,,,
Francaise American,Fr,,,
Francais??,Out,,,
Francais M I,Out,,,
Francais Juis,Out,,,
Francais Js,Out,,,
Francais Jis,Out,,,
Francaiase,Fr,,,
Francaiae,Fr,,,
Francaes,Fr,,,
Franascuse,Fr,,,
Franaice,Out,,,
Françaissee,Fr,,,
Françaiserançaise,Fr,,,
Françaiseè,Fr,,,
Française Irlandaise,Fr,,,
Française Eng B,Fr,,,
Françaiscol,Fr,,,
Françaie,Fr,,,
Framcaise,Fr,,,
Fraicais,Fr,,,
Fr??h,Out,,,
Fr. Hugenot,Out,,,
Fr Q/b,Out,,,
Fr Francais,Fr,,,
Fr Canadian,Fr,,,
Fort-rupert,Out,,,
For,Out,,,
Foquaht,Out,,,
Foll??,Out,,,
Fli Wbsis,Out,,,
Flem??sh,Out,,,
Flanmg,Out,,,
Flanish,Out,,,
Flammande,Out,,,
Flamarid,Out,,,
Flamandè,Out,,,
Finnlander,Others,,,
Finlandr,Others,,,
Finlandish,Others,,,
Fini,Others,,,
Fillipins,Others,,,
Fil,Out,,,
Fhc,Out,,,
Ffrancais,Out,,,
Fermar,Out,,,
Ferdinand,Out,,,
Fenceian,Out,,,
Fb Mohawk,Ab,Metis,,
Fawaw,Out,,,
Farman,Out,,,
Fancaes,Out,,,
Fana Ktink,Out,,,
Falandenn,Out,,,
Faimls,Out,,,
Fabe,Out,,,
F.b,Out,,,
F. Breed,Out,,,
F Sco,Out,,,
F O B,Out,,,
F Juive,Out,,,
F Islandise,Out,,,
F Irles,Out,,,
F Ir,Out,,,
F Halphuar,Out,,,
F H Breed,Out,,,
F Fr,Out,,,
F F Can,Out,,,
F Essuais,Out,,,
F Ecuise,Out,,,
F Canadia,Out,,,
F Brud,Out,,,
F Bread Cree,Ab,Metis,,
F Bck German,Out,,,
F Baire,Out,,,
F B W,Out,,,
F B Micmac Fr,Out,,,
F B Canadian,Out,,,
F B Canadia,Out,,,
F B C,Out,,,
F B Babine,Out,,,
F B ??,Out,,,
F Anglaise,Out,,,
F (c) B,Out,,,
F & B African,Out,,,
Evangelist,Out,,,
Eungel B,Out,,,
Eug,Out,,,
Eu,Out,,,
Etat Eunis,Out,,,
Essossais,Out,,,
Esquimeaut,Out,,,
Espangnol,Out,,,
Espaguda,Out,,,
Espagrol,Out,,,
Espagnel,Out,,,
Espagne,Out,,,
Espagn,Out,,,
Espágnol,Out,,,
Espa,Out,,,
Esp,Out,,,
Esossaisse,Sc,,,
Esercan,Out,,,
Escossais,Sc,,,
Ernzlais,Out,,,
Erldastien,Out,,,
Erich,Out,,,
Eres,Out,,,
Erb,Out,,,
Erastian,Out,,,
Equador,Out,,,
Epegnal,Out,,,
Eortngaise,Out,,,
Eorlayman,Out,,,
Eoassic,Out,,,
Eoassaise,Out,,,
Enlsh,Out,,,
Enlgsh,Out,,,
Enlglish,Out,,,
Enlg,Out,,,
Enish,Out,,,
Eniglish,Out,,,
Engs,Out,,,
Engolis,Out,,,
Engnois Ob,Out,,,
Englus,Out,,,
Engluise,Out,,,
Englst,Out,,,
Englruh,Out,,,
Englist B,Out,,,
Englisst,Out,,,
Englishness,Out,,,
Englishna,Out,,,
English Welch,Out,,,
English Usa,Out,,,
English Us,Out,,,
English U E Laualist,Out,,,
English U E A,Out,,,
English Step Daughter,Out,,,
English Sb,Out,,,
English Ont,Out,,,
English Of Dutch,Out,,,
English Mich,Out,,,
English Man,Out,,,
English Indian,Out,,,
English Ib,Out,,,
English Geria,Out,,,
English French,Out,,,
English Dutch,Out,,,
English D,Out,,,
English Canadia,En,,,
English B Can,Out,,,
English Assa,Out,,,
English Americaine,Out,,,
English & Irish,Out,,,
English & German,Out,,,
Englier,Out,,,
Engliche,Out,,,
Engliass,Out,,,
Engletere,Out,,,
Engleng,Out,,,
Englea,Out,,,
Engld V,Out,,,
Englass,Out,,,
Englaos,Out,,,
Englangsh,Out,,,
England R,Out,,,
England Jew,Out,,,
England Eb,Out,,,
Englaist,Out,,,
Englaish S/b,Out,,,
Englaises,Out,,,
Englais M,Out,,,
Englain,Out,,,
Engk,Out,,,
Engilsh,Out,,,
Enghs,Out,,,
Enger,Out,,,
Engein,Out,,,
Engebeth,Out,,,
Eng'd,Out,,,
Eng],Out,,,
Eng(?),Out,,,
Eng Sc,Out,,,
Eng S B,Ab,Metis,,
Eng S,Out,,,
Eng Rise,Out,,,
Eng Mong,Out,,,
Eng Mic,Out,,,
Eng Jewish,Out,,,
Eng Fb,Out,,,
Eng E,Out,,,
Eng Canndian,En,,,
Eng Canada,En,,,
Eng Bred,Out,,,
Eng Amer,Out,,,
Eng (uel),Out,,,
Eng (c),Out,,,
Eng',En,,,
Enelish,Out,,,
Endis,Out,,,
Endaise,Out,,,
End Irlandaise,Out,,,
Encossaise,Out,,,
Encosaise,Out,,,
Enard,Out,,,
En Scotch,Out,,,
Employee,Out,,,
Elyalaise,Out,,,
Elnglish,Out,,,
Ellein,Out,,,
Elinglish,Out,,,
Eliathsaht,Out,,,
Elghish,Out,,,
Elandaise,Out,,,
Elairduise,Out,,,
Eisc,Out,,,
Eirlandise,Out,,,
Eires,Out,,,
Eing,Out,,,
Egytienne,Others,,,
Egnt Dut,Others,,,
Egnglsh,En,,,
Eglis,Out,,,
Eggption,Others,,,
Eeng,Out,,,
Eeglis,Out,,,
Ee,Out,,,
Edandaine,Out,,,
Ecssoais,Out,,,
Ecotele,Out,,,
Ecossocis,Sc,,,
Ecosseris,Sc,,,
Ecossasie,Sc,,,
Ecossane,Sc,,,
Ecossajse,Sc,,,
Ecossaison,Sc,,,
Ecossaise R,Sc,,,
Ecossaise Metriss,Ab,Metis,,
Ecossaise Main,Sc,,,
Ecossaise M,Sc,,,
Ecossaise Frienage,Sc,,,
Ecossaisaise,Sc,,,
Ecossais??,Out,,,
Ecossais M F,Sc,,,
Ecossais M E,Sc,,,
Ecossais Fr,Sc,,,
Ecossais Canadien,Sc,,,
Ecossais Am,Sc,,,
Ecossainsie,Sc,,,
Ecossaiese,Sc,,,
Ecossaies,Sc,,,
Ecossaide,Sc,,,
Ecossaè,Sc,,,
Ecosis,Sc,,,
Ecosie,Sc,,,
Ecosedin,Sc,,,
Ecose,Sc,,,
Ecoscaise,Sc,,,
Ecosaiss,Sc,,,
Ecosaice,Sc,,,
Ecosae,Sc,,,
Ecorsdise,Sc,,,
Ecorraise,Sc,,,
Ecoquis,Sc,,,
Ecoossaise,Sc,,,
Ecoosaise,Sc,,,
Ecoissae,Sc,,,
Ecoassie,Sc,,,
Ecoaisse,Sc,,,
Eccssaisse,Sc,,,
Eccosaisse,Sc,,,
Ecassaose,Sc,,,
Ecarsaise,Sc,,,
East Scotch,Out,,,
East Indies,Out,,,
East Filin,Out,,,
Earcaise,Out,,,
Eanigkan,Out,,,
Eaissaise,Sc,,,
Eçossais,Sc,,,
E??sate,Out,,,
E.b,Out,,,
E We,Out,,,
E W,Out,,,
E Us,Out,,,
E Unis,Out,,,
E Q Ontario And ??,Out,,,
E Mongolian,Out,,,
E K Breed,Out,,,
E Ir,Out,,,
E I,Out,,,
E Hb,Out,,,
E German,Out,,,
E G,Out,,,
E Fr,Out,,,
E Englis,Out,,,
E Ecossais,Out,,,
E Dutch,Out,,,
E Chep B,Out,,,
E Breede,Out,,,
E B??,Out,,,
E B. Cree,Ab,Metis,,
E B We,Out,,,
E B English,Out,,,
E B Cree Canadian,Ab,Metis,,
E B Cr,Out,,,
E ?? Scotch,Out,,,
Duthch,Others,,,
Dutch United States,Others,,,
Dutch Mohawk,Ab,Metis,,
Dutch Holand,Others,,,
Dutch Ger,Others,,,
Dutch English,Others,,,
Dutch Eng,Others,,,
Dunth,Out,,,
Dune,Out,,,
Dul,Out,,,
Dukobard,Out,,,
Duish,Out,,,
Dugh,Out,,,
Duetch,Out,,,
Dueih,Out,,,
Dueich,Out,,,
Ducht,Out,,,
Duche,Out,,,
Droguerie,Out,,,
Drlaid,Out,,,
Donist,Out,,,
Donenish,Out,,,
Done,Out,,,
Doms,Out,,,
Dolish,Out,,,
Doing,Out,,,
Doane,Out,,,
Dnk,Out,,,
Ditto,Out,,,
Discp,Out,,,
Dinér,Out,,,
Dfrançais,Out,,,
Der O/b,Out,,,
Denn,Out,,,
Denmak,Others,,,
Denm,Out,,,
Demerise,Out,,,
Deme,Out,,,
Demark,Others,,,
Deleware Hb,Ab,Metis,,
Delaware Sb,Ab,Metis,,
Delaware I.b.,Ab,Metis,,
Delaware F B,Ab,Metis,,
Delaware A B,Ab,Metis,,
Dedarislise,Out,,,
Deaudinaon,Out,,,
Deanish,Out,,,
De,Out,,,
Dawish,Out,,,
Daviston,Out,,,
Darmark,Out,,,
Danris,Out,,,
Danoix,Out,,,
Danoice,Out,,,
Danoes,Out,,,
Dannoish,Others,,,
Danlish,Others,,,
Daniste,Others,,,
Daninish,Others,,,
Daniel,Others,,,
Danich,Others,,,
Danemark,Out,,,
Dandain,Out,,,
Dalets,Out,,,
Daish,Out,,,
Daire,Out,,,
Dainsh,Others,,,
Daimsh,Out,,,
Daerlish,Out,,,
Daen,Out,,,
D. B.,Out,,,
D Am,Out,,,
D (pere),Out,,,
Cumm,Out,,,
Cuelians,Out,,,
Cubans,Others,,,
Croole,Out,,,
Cro M O B,Out,,,
Crlb S B,Out,,,
Crise,Out,,,
Crigoh,Out,,,
Cri S B,Out,,,
Cri M Irl,Out,,,
Cri M F Cree French B,Out,,,
Cri M F Cree F B,Out,,,
Cri M Ang,Out,,,
Cri E M E,Out,,,
Cri A,Out,,,
Crge,Out,,,
Cres B,Out,,,
Creey,Out,,,
Cree. F.b.,Ab,Metis,,
Cree T. B.,Ab,Metis,,
Cree T B,Ab,Metis,,
Cree Se,Ab,Metis,,
Cree S H B,Ab,Metis,,
Cree S B.,Ab,Metis,,
Cree O. B.,Ab,Metis,,
Cree Norwegian B,Ab,Metis,,
Cree M. F.,Ab,Metis,,
Cree M Sscossais,Ab,Metis,,
Cree M Francais,Ab,Metis,,
Cree M Austria,Ab,Metis,,
Cree M Anglais,Ab,Metis,,
Cree M,Ab,Metis,,
Cree Jb,Ab,Metis,,
Cree Icelander,Ab,Metis,,
Cree I. V,Ab,Metis,,
Cree I,Ab,Metis,,
Cree H,Ab,Metis,,
Cree German B,Ab,Metis,,
Cree Franch B,Ab,Metis,,
Cree F/b,Ab,Metis,,
Cree F Brssel,Ab,Metis,,
Cree F Br,Ab,Metis,,
Cree Eng,Ab,Metis,,
Cree E.b.,Ab,Metis,,
Cre M I,Ab,Metis,,
Crasin,Out,,,
Cpipp,Out,,,
Coutch,Out,,,
Cous,Out,,,
Cossaire,Out,,,
Cose Eb,Out,,,
Conglan,Out,,,
Congl,Out,,,
Con,Out,,,
Comox,Out,,,
Comac Sb,Out,,,
Colombia,Out,,,
Coland,Out,,,
Coast Indian,Out,,,
Co English,Out,,,
Co Eng,Out,,,
Cng,Out,,,
Cn G S B,Out,,,
Clinton,Out,,,
Clements,Out,,,
Church England,Out,,,
Christ Ireland,Out,,,
Choudent,Out,,,
Choth,Out,,,
Chotch,Out,,,
Chone,Out,,,
Choiss,Out,,,
Chniese,Out,,,
Chneese,Out,,,
Chish,Out,,,
Chipppewa Fb,Ab,Metis,,
Chippewa??,Out,,,
Chippewa Lb,Ab,Metis,,
Chippewa Irish,Ab,Metis,,
Chippewa I B,Ab,Metis,,
Chippewa G R,Ab,Metis,,
Chippewa F. B,Ab,Metis,,
Chippewa F French B,Ab,Metis,,
Chippewa F C,Ab,Metis,,
Chippewa F B.,Ab,Metis,,
Chippew Fb,Ab,Metis,,
Chippeva French B,Ab,Metis,,
Chipp G B,Ab,Metis,,
Chipewa F.b,Ab,Metis,,
Chipewa F. B.,Ab,Metis,,
Chipew F B,Ab,Metis,,
Chip??,Out,,,
Chip Irish H B,Ab,Metis,,
Chinsise,Ch,,,
Chins,Ch,,,
Chinorse,Ch,,,
Chinook Ind,Out,,,
Chinoke,Out,,,
Chinoiss,Ch,,,
Chinoia,Ch,,,
Chinniese,Ch,,,
Chinnese,Ch,,,
Chinna,Ch,,,
Chinessese,Ch,,,
Chinesse,Ch,,,
Chinese Ob,Out,,,
Chinerse,Ch,,,
Chinenne,Ch,,,
Chinease,Ch,,,
Chinard,Ch,,,
Chinaowan,Ch,,,
Chinanar,Ch,,,
Chinaese,Ch,,,
China Indn Gb,Out,,,
Chi-m-a,Out,,,
Chillia,Out,,,
Chile,Others,,,
Chilcoter,Out,,,
Chilcoten E. B,Ab,Metis,,
Chielain,Out,,,
Chief Of ?? Chipawa,Out,,,
Chidheneith,Out,,,
Chickasa,Out,,,
Chi Me,Out,,,
Cherokee S B,Out,,,
Cherokee,Out,,,
Chep B.,Out,,,
Chep ? B,Out,,,
Chenain,Out,,,
Cheish,Out,,,
Cheinsie,Out,,,
Cheek,Out,,,
Chattischt,Out,,,
Charall Islender,Out,,,
Chanoise,Out,,,
Chanise,Out,,,
Chamelier,Out,,,
Chainlesaht,Out,,,
Chaiedesalt,Out,,,
Ch Of ??,Out,,,
Ch Is,Out,,,
Cfee,Out,,,
Cen,Out,,,
Celtic Eng,Out,,,
Cdan,Out,,,
Cb S B,Out,,,
Cb E B,Out,,,
Cayuga S B,Ab,Metis,,
Caucssian,Out,,,
Caucasian,Out,,,
Catole,Out,,,
Cathyrsain,Out,,,
Catholic,Out,,,
Case Sb,Out,,,
Carths,Out,,,
Carrier Ob,Ab,Metis,,
Carrier Ib,Ab,Metis,,
Carrier E. B,Ab,Metis,,
Caristo,Out,,,
Carian,Out,,,
Cantun M,Out,,,
Cant Say Man,Out,,,
Can-fran,Out,,,
Can-fr,Out,,,
Canffay,Out,,,
Candnaian,Others,,,
Candia,Others,,,
Candasian,Out,,,
Candaise,Out,,,
Cand Irl,Out,,,
Cand Francais,Fr,,,
Canadinne,Others,,,
Canadiennne,Others,,,
Canadienne Francais,Fr,,,
Canadienne Fr,Fr,,,
Canadian Scotch,Sc,,,
Canadian S,Out,,,
Canadian Eng,Others,,,
Canadian E B,Ab,Metis,,
Canadi,Out,,,
Canade ??,Out,,,
Canade,Out,,,
Canadann,Out,,,
Canad Fr,Out,,,
Canad Englis,Out,,,
Canaad,Out,,,
Can Scotch,Out,,,
Can Nwt,Out,,,
Can Irsh,Out,,,
Can Irish,Out,,,
Can Frot,Out,,,
Can F,Out,,,
Can Eng,Out,,,
Camf,Out,,,
Camest Kssa,Out,,,
Calian,Out,,,
Calation,Out,,,
Caiveor,Out,,,
Caidason K,Out,,,
Cagnga M E,Out,,,
Caghdnha,Out,,,
Cadrd F,Out,,,
Cadian,Out,,,
Cadcasian,Out,,,
Cabt Scotch,Out,,,
Ca Frada,Out,,,
Ca English,Out,,,
Ca Engan,Out,,,
Ca Eng,Out,,,
C Sweed B,Out,,,
C Scotland,Out,,,
C Scoth B,Out,,,
C Scotch B.,Out,,,
C Sc,Out,,,
C S,Out,,,
C Of Blackfoot,Out,,,
C Ob B,Out,,,
C Mohawk,Out,,,
C India,Out,,,
C I,Out,,,
C German,Out,,,
C French P,Out,,,
C French,Out,,,
C Fr,Out,,,
C Duch,Out,,,
C D,Out,,,
C Chi,Out,,,
C Can Fran,Out,,,
C Allemand,Out,,,
Bulla Boda,Out,,,
Bulgium,Others,,,
Bulgin,Others,,,
Bulgian,Others,,,
Buhemian,Out,,,
Brto,Out,,,
British Indian,Out,,,
Brithish,Out,,,
Bribua,Out,,,
Brgladson,Out,,,
Breton Franch,Out,,,
Brent,Out,,,
Breed,Out,,,
Brazoria,Out,,,
Brant Indian,Out,,,
Bou Raman,Out,,,
Born After April 1,Out,,,
Borgford Saxbers,Out,,,
Borders,Out,,,
