ETHNICITY,ETHNICITY_RECAT,AB_GROUP,AB_TRIBE,AB_LANG
Chipp Ob,Ab,Metis,,
Chipp Eb,Ab,Metis,,
Chinoisa,Ch,,,
Chièse,Out,,,
Cheniese,Out,,,
Ch,Out,,,
Caughnawaga,Out,,,
Casca Sr,Out,,,
Carland,Out,,,
Candian Ob,Out,,,
Canadien Fr,Out,,,
Canadias,Out,,,
C I B,Out,,,
C G B,Out,,,
C Francas,Out,,,
Breed S,Out,,,
Bohemi,Out,,,
Bertin,Out,,,
Berge,Out,,,
Belige,Out,,,
Belgine,Out,,,
Bele,Out,,,
Behomian,Out,,,
Beadier,Out,,,
Be;ge,Others,,,
Bc Indian Ob,Out,,,
Bc India Ob,Out,,,
Basp Dutch,Out,,,
Ban,Out,,,
B D,Out,,,
Austriane,Out,,,
Australia,Others,,,
Austa,Out,,,
Aust Jew,Out,,,
Astrnia,Others,,,
Astralia,Others,,,
Asseria,Out,,,
Arian,Out,,,
Arabin,Others,,,
Antrichien,Out,,,
Angloise,Out,,,
Anglise,Out,,,
Angline,Out,,,
Angleter,Out,,,
Angletaire,Out,,,
Anglesea,Out,,,
Anglaus,Out,,,
Anglasi,Out,,,
Anglain,Out,,,
An,Out,,,
American German,Others,,,
Americ,Out,,,
Amercan,Out,,,
Amarican,Others,,,
Amalécite,Out,,,
Amérique,Out,,,
Am. I,Out,,,
Almante,Out,,,
Allmand,Out,,,
Allimande,Out,,,
Allemands,Out,,,
Allamend,Out,,,
Alglaise,Out,,,
Albemond,Out,,,
Alamance,Out,,,
Ajibbewa Fb,Ab,Metis,,
Afriaine,Others,,,
Afrancaine,Others,,,
Afr,Out,,,
Afick,Out,,,
??on. F,Out,,,
1900,Out,,,
0,Out,,,
Wiènsioú Kai Eb,Ab,Metis,,
Welsh Us Engd,Others,,,
Welsh C,Others,,,
Wels,Others,,,
Welishman,Others,,,
Welh,Others,,,
Weldman,Others,,,
Wandine,Others,,,
Wélsh,Others,,,
W Ilandais,Others,,,
V,Out,,,
Usa Ir,Ir,,,
Untid Stas,Others,,,
United States,Others,,,
United State,Others,,,
U Eng,En,,,
U E L.,Others,,,
Tsawawtieneuh Eb,Ab,Metis,,
Thompson Nile,Out,,,
Thomp German E,Ab,Metis,,
Thomp German,Ab,Metis,,
Thomp French C,Ab,Metis,,
Tholandais,Others,,,
Theak English,Others,,,
Tfb,Out,,,
Teston B,Others,,,
Temiscamie,Others,,,
Tele De Boul,Out,,,
Swss,Others,,,
Switzerland Sanas,Others,,,
Switze,Others,,,
Switrlan,Others,,,
Switerland,Others,,,
Swices,Others,,,
Swesh,Others,,,
Sweish,Others,,,
Sweisa,Others,,,
Sweelish Jew,Others,,,
Sweed.,Others,,,
Swedon,Others,,,
Swedich,Others,,,
Swedesh,Others,,,
Swedeen,Others,,,
Swedden,Others,,,
Swden,Others,,,
Swad,Others,,,
Sviss,Others,,,
Svedish,Others,,,
Stateline,Others,,,
Stalienne,Others,,,
Stack Ob,Out,,,
Spish,Others,,,
Spanrard,Others,,,
Spannish,Others,,,
Spanish Ob,Ab,Metis,,
Spaniadit,Others,,,
Spainard,Others,,,
Sotland,Sc,,,
Sotc,Out,,,
Sorth,Out,,,
